family_name_1,given_name_1,family_name_2,given_name_2,year,field,subfield,type,unrecognized?,reference
Cauchy,Augustin,Hadamard,Jacques,1821,Mathematics,Analysis,theorem,,https://en.wikipedia.org/wiki/Cauchy–Hadamard_theorem
Cauchy,Augustin,Kovalevskaya,Sofya,1875,Mathematics,,theorem,,https://en.wikipedia.org/wiki/Cauchy–Kowalevski_theorem
Cauchy,Augustin,Lipschitz,Rudolf,,Mathematics,Differential Equations,theorem,,https://en.wikipedia.org/wiki/Picard–Lindelöf_theorem
Cauchy,Augustin,Riemann,Bernhard,1752,Mathematics,Analysis,equation,d’Alembert,https://en.wikipedia.org/wiki/Cauchy–Riemann_equations
Cauchy,Augustin,Schwarz,Hermann,1821,Mathematics,,inequality,Viktor Bunyakovsky,https://en.wikipedia.org/wiki/Cauchy–Schwarz_inequality
Cayley,Arthur,Bacharach,Isaak,1886,Mathematics,,theorem,Michel Chasles,https://en.wikipedia.org/wiki/Cayley–Bacharach_theorem
Cayley,Arthur,Dickson,Leonard,,Mathematics,Algebra,construction,,https://en.wikipedia.org/wiki/Cayley–Dickson_construction
Cayley,Arthur,Hamilton,William,1853,Mathematics,Algebra,theorem,,https://en.wikipedia.org/wiki/Cayley–Hamilton_theorem
Cayley,Arthur,Klein,Felix,1859,Mathematics,Geometry,metric,,https://en.wikipedia.org/wiki/Cayley–Klein_metric
Cayley,Arthur,Menger,Karl,,Mathematics,,determinant,,https://en.wikipedia.org/wiki/Cayley–Menger_determinant
Cayley,Arthur,Purser,Michael,1999,Mathematics,Cryptography,algorithm,Sarah Flannery,https://en.wikipedia.org/wiki/Cayley–Purser_algorithm
Chandrasekhar,Subrahmanyan,Kendall,PC,1957,Mathematics,,function,,https://en.wikipedia.org/wiki/Chandrasekhar–Kendall_function
Chandrasekhar,Subrahmanyan,Page,Don,1976,Physics,Astrophysics,equation,N. Toop,https://en.wikipedia.org/wiki/Chandrasekhar–Page_equations
Chapman,Sydney,Enskog,David,1916,Physics,Statistical Mechanics,theory,,https://en.wikipedia.org/wiki/Chapman–Enskog_theory
Chapman,David,Jouguet,Émile,1905,Engineering,,condition,,https://en.wikipedia.org/wiki/Chapman–Jouguet_condition
Church,Alonzo,Kleene,Stephen,1937,Mathematics,,ordinal,,https://en.wikipedia.org/wiki/Church–Kleene_ordinal
Church,Alonzo,Rosser,John,1936,Mathematics,,theorem,,https://en.wikipedia.org/wiki/Church–Rosser_theorem
Church,Alonzo,Turing,Alan,1936,Mathematics,,thesis,,https://en.wikipedia.org/wiki/Church–Turing_thesis
Clausius,Rudolf,Clapeyron,Benoît,,Physics,Thermodynamics,relation,,https://en.wikipedia.org/wiki/Clausius–Clapeyron_relation
Clausius,Rudolf,Duhem,Pierre,,Physics,Thermodynamics,inequality,,https://en.wikipedia.org/wiki/Clausius–Duhem_inequality
Clebsch,Alfred,Gordan,Paul,,Mathematics,Representation Theory,coefficient,,https://en.wikipedia.org/wiki/Clebsch–Gordan_coefficients
Cramér,Harald,Rao,Calyampudi,1946,Mathematics,Probability/Statistics,bound,"Maurice Fréchet, Georges Darmois, Alexander Aitken and Harold Silverstone",https://en.wikipedia.org/wiki/Cramér–Rao_bound#cite_note-Cramér-1
Cramér,Harald,von Mises,Richard,1930,Mathematics,Probability/Statistics,criterion,,https://en.wikipedia.org/wiki/Cramér–von_Mises_criterion
Cramér,Harald,Wold,Herman,1936,Mathematics,Probability/Statistics,theorem,,https://en.wikipedia.org/wiki/Cramér–Wold_theorem
Crank,John,Nicolson,Phyllis,1947,Mathematics,Numerics,method,,https://en.wikipedia.org/wiki/Crank–Nicolson_method
Curie,Pierre,Weiss,Pierre,1940,Physics,Magnetism,Law,,https://www.merriam-webster.com/dictionary/Curie-Weiss%20law
d’Alembert,Jean,Euler,Leonhard,1752,Mathematics,,equation,,https://encyclopediaofmath.org/wiki/Cauchy-Riemann_equations
Darrieus,Georges,Landau,Lev,1938,,,instability,,https://en.wikipedia.org/wiki/Darrieus–Landau_instability
Darwin,Charles G,Fowler,Ralph,1922,Physics,Statistical Mechanics,method,,https://en.wikipedia.org/wiki/Darwin–Fowler_method
de Broglie,Louis,Bohm,David,1952,Physics,Quantum Mechanics,theory,,https://en.wikipedia.org/wiki/de_Broglie–Bohm_theory
de Haas,Wander,van Alphen,Pieter,1930,Physics,Magnetism,effect,,https://en.wikipedia.org/wiki/de_Haas–van_Alphen_effect#History
de Moivre,Abraham,Laplace,Pierre-Simon,1738,Mathematics,Probability/Statistics,theorem,,https://en.wikipedia.org/wiki/de_Moivre–Laplace_theorem
Debye,Peter,Waller,Ivar,1913,Physics,Solid-State Physics,factor,,https://www.oxfordreference.com/view/10.1093/oi/authority.20110803095705269
Debye,Peter,Hückel,Erich,1923,Chemistry,Electrochemistry,equation,,https://en.wikipedia.org/wiki/Debye–Hückel_equation
Deligne,Pierre,Lusztig,George,1976,Mathematics,Group Theory,theory,,https://en.wikipedia.org/wiki/Deligne–Lusztig_theory
Deligne,Pierre,Mumford,David,1969,Mathematics,Geometry,,,https://en.wikipedia.org/wiki/Moduli_of_algebraic_curves#cite_note-:0-1
Denjoy,Arnaud,Carleman,Torsten,1926,Mathematics,,,,https://en.wikipedia.org/wiki/Quasi-analytic_function#The_Denjoy–Carleman_theorem
Denjoy,Arnaud,Koksma,Jurjen,1979,Mathematics,,,Michael-Robert Herman,https://en.wikipedia.org/wiki/Denjoy–Koksma_inequality
Denjoy,Arnaud,Luzin,Nikolai,1912,Mathematics,,,,https://en.wikipedia.org/wiki/Denjoy–Luzin_theorem
Denjoy,Arnaud,Riesz,Frigyes,1906,Mathematics,Topology,,,https://en.wikipedia.org/wiki/Denjoy–Riesz_theorem
Denjoy,Arnaud,Wolff,Julius,1926,Mathematics,,,,https://en.wikipedia.org/wiki/Denjoy–Wolff_theorem
Dieudonné,Jean,Manin,Yuri,1955,Mathematics,,,,https://en.wikipedia.org/wiki/Dieudonné_module#Dieudonné–Manin_classification_theorem
Dini,Ulisse,Lipschitz,Rudolf,1872,Mathematics,,,,https://en.wikipedia.org/wiki/Dini–Lipschitz_criterion
Dirac,Paul,von Neumann,John,1930,Physics,Quantum Mechanics,,,https://en.wikipedia.org/wiki/Dirac–von_Neumann_axioms
Donsker,Monroe,Varadhan,Sathamangalam,1983,Mathematics,Information Theory,,,https://math.stackexchange.com/questions/3640450/reconciling-donsker-varadhan-definition-of-kl-divergence-with-the-usual-defini
Drude,Paul,Lorentz,Hendrik,,,,,,
Drude,Paul,Sommerfeld,Arnold,1927,Physics,Solid-State Physics,,,https://en.wikipedia.org/wiki/Free_electron_model
Duhem,Pierre,Margules,Max,,Physics,Thermodynamics,,,https://en.wikipedia.org/wiki/Duhem–Margules_equation
Einstein,Albert,Cartan,Élie,1922,Physics,,,,https://en.wikipedia.org/wiki/Einstein–Cartan_theory
Einstein,Albert,de Haas,Wander,1908,Physics,Magnetism,,Owen Richardson,https://en.wikipedia.org/wiki/Einstein–de_Haas_effect
Einstein,Albert,Hilbert,David,1915,Physics,Relativity,,,https://en.wikipedia.org/wiki/Einstein–Hilbert_action
Einstein,Albert,Smoluchowski,Marian,,,,,,
Emden,Robert,Chandrasekhar,Subrahmanyan,1907,Physics,Astrophysics,,,https://en.wikipedia.org/wiki/Emden–Chandrasekhar_equation
Euclid,,Mullin,Albert,1963,Mathematics,Number Theory,,,https://en.wikipedia.org/wiki/Euclid–Mullin_sequence
Euler,Leonhard,Cauchy,Augustin,,Engineering,Mechanics,,,https://en.wikipedia.org/wiki/Cauchy_stress_tensor#Euler–Cauchy_stress_principle_–_stress_vector
Euler,Leonhard,Lagrange,Joseph-Louis,1755,Mathematics,,,,https://en.wikipedia.org/wiki/Euler–Lagrange_equation
Euler,Leonhard,Lotka,Alfred,1911,Social Sciences,Demographics,,,https://en.wikipedia.org/wiki/Euler–Lotka_equation
Euler,Leonhard,Bernoulli,Daniel,1750,Engineering,Mechanics,,,https://en.wikipedia.org/wiki/Euler–Bernoulli_beam_theory
Euler,Leonhard,Maclaurin,Colin,1735,Mathematics,,,,https://en.wikipedia.org/wiki/Euler–Maclaurin_formula
Euler,Leonhard,Mascheroni,Lorenzo,1734,Mathematics,,,,
Euler,Leonhard,Maruyama,Gisiro,,Mathematics,Numerics,,,
Farrell,Thomas,Jones,Lowell,1993,Mathematics,Group Theory,,,https://en.wikipedia.org/wiki/Farrell–Jones_conjecture
Fekete,Michael,Szegö,Gábor,1933,Mathematics,Analysis,,,https://en.wikipedia.org/wiki/Fekete–Szegő_inequality
Fermi,Enrico,Dirac,Paul,1926,Physics,Quantum Mechanics,,,https://en.wikipedia.org/wiki/Fermi–Dirac_statistics#History
Fischer,Franz,Tropsch,Hans,1925,Chemistry,,,,https://en.wikipedia.org/wiki/Fischer–Tropsch_process
Flory,Paul,Huggins,,,Chemistry,Polymers,,,
Flory,Paul,Fox,Thomas,1950,Chemistry,Polymers,,,https://en.wikipedia.org/wiki/Flory–Fox_equation
Flory,Paul,Rehner,John,1943,Chemistry,Polymers,,,https://en.wikipedia.org/wiki/Flory–Rehner_equation
Flory,Paul,Schulz,Günter,1936,Chemistry,Polymers,,,https://en.wikipedia.org/wiki/Flory–Schulz_distribution
Flory,Paul,Stockmayer,Walter,1941,Chemistry,Polymers,,,https://en.wikipedia.org/wiki/Flory–Stockmayer_theory
Fokker,Adriaan,Planck,Max,1914,Physics,Statistical Mechanics,,,https://en.wikipedia.org/wiki/Fokker–Planck_equation
Fourier,Joseph,Bessel,Friedrich,,Mathematics,,,,https://en.wikipedia.org/wiki/Fourier–Bessel_series
Fourier,Joseph,Deligne,Pierre,1976,Mathematics,Geometry,,,https://en.wikipedia.org/wiki/Fourier–Deligne_transform
Fourier,Joseph,Motzkin,Theodore,1827,Mathematics,,,,https://en.wikipedia.org/wiki/Fourier–Motzkin_elimination
