family_name,given_name,birth_year,death_year,birth_country,race,gender,reference
Teller,Edward,1908,2003,Hungary,white,male,https://en.wikipedia.org/wiki/Edward_Teller
Tetrode,Hugo,1895,1931,Netherlands,white,male,https://en.wikipedia.org/wiki/Hugo_Tetrode
Thue,Axel,1863,1922,Norway,white,male,https://en.wikipedia.org/wiki/Axel_Thue
Tropsch,Hans,1889,1935,Austria-Hungary,white,male,https://en.wikipedia.org/wiki/Hans_Tropsch
Turing,Alan,1912,1954,England,white,male,https://en.wikipedia.org/wiki/Alan_Turing
Ulam,Stanisław,1909,1984,Poland,white,male,https://en.wikipedia.org/wiki/Stanislaw_Ulam
van Alphen,Pieter,,,,,,
van Leeuwen,Hendrika,1887,1974,Netherlands,white,female,https://en.wikipedia.org/wiki/Hendrika_Johanna_van_Leeuwen
Varadhan,Sathamangalam,1940,,India,South Asian,male,https://en.wikipedia.org/wiki/S._R._Srinivasa_Varadhan
Vessiot,Ernest,1865,1952,France,white,male,https://en.wikipedia.org/wiki/Ernest_Vessiot
Vinogradov,Ivan,1891,1983,Soviet Union,white,male,https://en.wikipedia.org/wiki/Ivan_Vinogradov
Volmer,Max,1885,1965,Germany,white,male,https://en.wikipedia.org/wiki/Max_Volmer
Volterra,Vito,1860,1940,Italy,white,male,https://en.wikipedia.org/wiki/Vito_Volterra
von Kármán,Theodore,1881,1963,Hungary,white,male,https://en.wikipedia.org/wiki/Theodore_von_Kármán
von Mises,Richard,1883,1953,Austria,white,male,https://en.wikipedia.org/wiki/Richard_von_Mises
von Neumann,John,1903,1957,Hungary,white,male,https://en.wikipedia.org/wiki/John_von_Neumann
Wagner,Herbert,1935,,Germany,white,male,https://en.wikipedia.org/wiki/Herbert_Wagner_(physicist)
Waller,Ivar,1898,1991,Sweden,white,male,https://en.wikipedia.org/wiki/Ivar_Waller
Wang,Fugao,,,China,East Asian,male,
Wannier,Gregory,1911,1983,Switzerland,white,male,https://en.wikipedia.org/wiki/Gregory_Wannier
Watts,Duncan,1971,,United States,white,male,https://en.wikipedia.org/wiki/Duncan_J._Watts
Weaver,Warren,1894,1978,United States,white,male,https://en.wikipedia.org/wiki/Warren_Weaver
Weber,Heinrich,1842,1913,Germany,white,male,https://en.wikipedia.org/wiki/Heinrich_Martin_Weber
Weierstrass,Karl,1815,1897,Germany,white,male,https://en.wikipedia.org/wiki/Karl_Weierstrass
Weinberg,Wilhelm,1862,1937,Germany,white,male,https://en.wikipedia.org/wiki/Wilhelm_Weinberg
Weiss,Jeffrey,,,United States,white,male,
Weiss,Joseph,1905,1972,Austria,white,male,https://en.wikipedia.org/wiki/Joseph_Joshua_Weiss
Weiss,Pierre,1865,1940,France,white,male,https://en.wikipedia.org/wiki/Pierre_Weiss
Weyl,Hermann,1885,1955,Germany,white,male,https://en.wikipedia.org/wiki/Hermann_Weyl
Whittaker,Edmund,1873,1956,England,white,male,https://en.wikipedia.org/wiki/E._T._Whittaker
Wiedemann,Gustav,1826,1899,Germany,white,male,https://en.wikipedia.org/wiki/Gustav_Heinrich_Wiedemann
Wiener,Norbert,1894,1964,United States,white,male,https://en.wikipedia.org/wiki/Norbert_Wiener
Wigner,Eugene,1902,1995,Hungary,white,male,https://en.wikipedia.org/wiki/Eugene_Wigner
Wintner,Aurel,1903,1958,Hungary,white,male,https://en.wikipedia.org/wiki/Aurel_Wintner
Wohlfarth,Erich,1924,1988,Poland,white,male,https://en.wikipedia.org/wiki/Erich_Peter_Wohlfarth
Wold,Herman,1908,1992,Norway,white,male,https://en.wikipedia.org/wiki/Herman_Wold
Wolf,Jack,1935,2011,United States,white,male,https://en.wikipedia.org/wiki/Jack_Wolf
Wolff,Julius,1882,1945,Netherlands,white,male,https://en.wikipedia.org/wiki/Julius_Wolff_(mathematician)
Yang,Chen-Ning,1922,,China,East Asian,male,https://en.wikipedia.org/wiki/Yang_Chen-Ning
Young,Thomas,1773,1829,England,white,male,https://en.wikipedia.org/wiki/Thomas_Young_(scientist)
Zaremba,Stanisław,1863,1942,Poland,white,male,https://en.wikipedia.org/wiki/Stanisław_Zaremba_(mathematician)
Zener,Clarence,1905,1993,United States,white,male,https://en.wikipedia.org/wiki/Clarence_Zener
Zygmund,Antoni,1900,1992,Poland,white,male,https://en.wikipedia.org/wiki/Antoni_Zygmund
