family_name,given_name,birth_year,death_year,birth_country,race,gender,reference
Kolchin,Ellis,1916,1991,United States,white,male,https://en.wikipedia.org/wiki/Ellis_Kolchin
Kolmogorov,Andrey,1903,1987,Soviet Union,white,male,https://en.wikipedia.org/wiki/Andrey_Kolmogorov
Kontorova,Tatiana,,,Russia,white,female,
Koopman,Bernard,1900,1981,France,white,male,https://en.wikipedia.org/wiki/Bernard_Koopman
Korteweg,Diederik,1848,1941,Netherlands,white,male,https://en.wikipedia.org/wiki/Bernard_Koopman
Kossel,Walther,1888,1956,Germany,white,male,https://en.wikipedia.org/wiki/Walther_Kossel
Koster,George,1927,2012,United States,white,male,https://www.google.com/search?client=safari&rls=en&q=george+fred+koster&ie=UTF-8&oe=UTF-8
Kovalevskaya,Sofya,1850,1891,Russia,white,female,https://en.wikipedia.org/wiki/Sofya_Kovalevskaya
Kramers,Hans,1894,1952,Netherlands,white,male,https://en.wikipedia.org/wiki/Hans_Kramers
Kronecker,Leopold,1823,1891,Germany,white,male,https://en.wikipedia.org/wiki/Leopold_Kronecker
Kronig,Ralph,1904,1995,Germany,white,male,https://en.wikipedia.org/wiki/Ralph_Kronig
Kronrod,Alexander,1921,1986,Soviet Union,white,male,https://en.wikipedia.org/wiki/Alexander_Kronrod
Kubo,Ryogo,1920,1995,Japan,East Asian,male,https://en.wikipedia.org/wiki/Ryogo_Kubo
Kullback,Solomon,1907,1994,United States,white,male,https://en.wikipedia.org/wiki/Solomon_Kullback
Kuranishi,Masatake,1924,,Japan,East Asian,male,https://en.wikipedia.org/wiki/Masatake_Kuranishi
Kutta,Wilhelm,1867,1944,Poland,white,male,https://en.wikipedia.org/wiki/Martin_Kutta
Lagrange,Joseph-Louis,1736,1813,Italy,white,male,https://en.wikipedia.org/wiki/Joseph-Louis_Lagrange
Lamb,Willis,1913,2008,United States,white,male,https://en.wikipedia.org/wiki/Willis_Lamb
Lambert,Johann,1728,1777,Switzerland,white,male,https://en.wikipedia.org/wiki/Johann_Heinrich_Lambert
Landau,David,1941,,United States,white,male,https://en.wikipedia.org/wiki/David_P._Landau
Landau,Edmund,1877,1938,Germany,white,male,https://en.wikipedia.org/wiki/Edmund_Landau
Landau,Lev,1908,1968,Soviet Union,white,male,https://en.wikipedia.org/wiki/Lev_Landau
Langlands,Robert,1936,,Canada,white,male,https://en.wikipedia.org/wiki/Robert_Langlands
Langmuir,Irving,1881,1957,United States,white,male,https://en.wikipedia.org/wiki/Irving_Langmuir
Laplace,Pierre-Simon,1749,1827,France,white,male,https://en.wikipedia.org/wiki/Pierre-Simon_Laplace
Lebesgue,Henri,1875,1941,France,white,male,https://en.wikipedia.org/wiki/Henri_Lebesgue
Lefschetz,Solomon,1884,1972,Russia,white,male,https://en.wikipedia.org/wiki/Solomon_Lefschetz
Legendre,Adrien-Marie,1752,1833,France,white,male,https://en.wikipedia.org/wiki/Adrien-Marie_Legendre
Lehmus,Daniel,1780,1863,Germany,white,male,https://en.wikipedia.org/wiki/C._L._Lehmus
Leibler,Richard,1914,2003,United States,white,male,https://en.wikipedia.org/wiki/Richard_Leibler
Levich,Veniamin,1917,1987,Ukraine,white,male,https://en.wikipedia.org/wiki/Veniamin_Levich
Levy,Mel,1941,,United States,white,male,https://www.iaqms.org/members/levy.php
Lie,Sophus,1842,1899,Norway,white,male,https://en.wikipedia.org/wiki/Sophus_Lie
Lieb,Elliott,1932,,United States,white,male,https://en.wikipedia.org/wiki/Elliott_H._Lieb
Lifshitz,Evgeny,1915,1985,Russia,white,male,https://en.wikipedia.org/wiki/Evgeny_Lifshitz
Lindelöf,Ernst,1870,1946,Finland,white,male,https://en.wikipedia.org/wiki/Ernst_Leonard_Lindelöf
Lindemann,Ferdinand,1852,1939,Germany,white,male,https://en.wikipedia.org/wiki/Ferdinand_von_Lindemann
Lindstedt,Anders,1854,1939,Sweden,white,male,https://en.wikipedia.org/wiki/Anders_Lindstedt
Liouville,Joseph,1809,1882,France,white,male,https://en.wikipedia.org/wiki/Joseph_Liouville
Lippmann,Bernard,1914,1988,American,white,male,https://en.wikipedia.org/wiki/Bernard_Lippmann
Lipschitz,Rudolf,1832,1903,Germany,white,male,https://en.wikipedia.org/wiki/Rudolf_Lipschitz
Littlewood,John,1885,1977,England,white,male,https://en.wikipedia.org/wiki/John_Edensor_Littlewood
Ljung,Greta,1941,,Finland,white,female,https://en.wikipedia.org/wiki/Greta_M._Ljung
London,Fritz,1900,1954,Germany,white,male,https://en.wikipedia.org/wiki/Fritz_London
Lorentz,Hendrik,1853,1928,Netherlands,white,male,https://en.wikipedia.org/wiki/Hendrik_Lorentz
Lorenz,Ludvig,1829,1891,Denmark,white,male,https://en.wikipedia.org/wiki/Ludvig_Lorenz
Lotka,Alfred,1880,1949,Austria-Hungary,white,male,https://en.wikipedia.org/wiki/Ludvig_Lorenz
Lusztig,George,1946,,Romania,white,male,https://en.wikipedia.org/wiki/George_Lusztig
Luzin,Nikolai,1883,1950,Russia,white,male,https://en.wikipedia.org/wiki/Nikolai_Luzin
Lyapunov,Aleksandr,1857,1918,Russia,white,male,https://en.wikipedia.org/wiki/Aleksandr_Lyapunov
Machlup,S.,1927,2008,Austria,white,male,https://www.bems.org/node/190
Maclaurin,Colin,1698,1746,Scotland,white,male,https://en.wikipedia.org/wiki/Colin_Maclaurin
Malkin,Ioel,1907,1958,Russia,white,male,https://g.co/kgs/LQNFK9
Manin,Yuri,1937,,Soviet Union,white,male,https://en.wikipedia.org/wiki/Yuri_Manin
Marangoni,Carlo,1840,1925,Italy,white,male,https://en.wikipedia.org/wiki/Carlo_Marangoni
Margules,Max,1856,1920,Austrian Empire,white,male,https://en.wikipedia.org/wiki/Max_Margules
Margulis,Grigory,1946,,Russia,white,male,https://en.wikipedia.org/wiki/Grigory_Margulis
Maruyama,Gisiro,1916,1986,Japan,East Asian,male,https://en.wikipedia.org/wiki/Gisiro_Maruyama
Mascheroni,Lorenzo,1750,1800,Italy,white,male,https://en.wikipedia.org/wiki/Lorenzo_Mascheroni
Mathai,Varghese,,,,South Asian,male,
Maurer,Ludwig,1859,1927,Germany,white,male,https://en.wikipedia.org/wiki/Ludwig_Maurer
Maxwell,James,1831,1879,Scotland,white,male,https://en.wikipedia.org/wiki/James_Clerk_Maxwell
Mellin,Hjalmar,1854,1933,Finland,white,male,https://en.wikipedia.org/wiki/Hjalmar_Mellin
Menger,Karl,1902,1985,Austria-Hungary,white,male,https://en.wikipedia.org/wiki/Karl_Menger
Menten,Maud,1879,1960,Canada,white,female,https://en.wikipedia.org/wiki/Maud_Menten
Mermin,David,1935,,United States,white,male,https://en.wikipedia.org/wiki/N._David_Mermin
Meshkov,E,,,,,,
Metropolis,Nicholas,1915,1999,Greece,white,male,https://en.wikipedia.org/wiki/Nicholas_Metropolis
Meyer,Theodor,1882,1972,Germany,white,male,https://en.wikipedia.org/wiki/Theodor_Meyer
Michaelis,Leonor,1875,1949,Germany,white,male,https://en.wikipedia.org/wiki/Leonor_Michaelis
Mills,Robert,1927,1999,United States,white,male,https://en.wikipedia.org/wiki/Robert_Mills_(physicist)
Minkowski,Hermann,1864,1909,Poland,white,male,https://en.wikipedia.org/wiki/Hermann_Minkowski#See_also
Moens,Adriaan,1846,1891,Netherlands,white,male,https://en.wikipedia.org/wiki/Adriaan_Isebree_Moens
Mohr,Georg,1640,1697,Denmark,white,male,https://en.wikipedia.org/wiki/Georg_Mohr
Møller,Christian,1904,1980,Denmark,white,male,https://en.wikipedia.org/wiki/Christian_Møller
Morgenstern,Oskar,1902,1977,Austria,white,male,https://en.wikipedia.org/wiki/Oskar_Morgenstern
Morse,Marston,1892,1977,United States,white,male,https://en.wikipedia.org/wiki/Marston_Morse
Mössbauer,Rudolf,1929,2011,Germany,white,male,https://en.wikipedia.org/wiki/Rudolf_Mössbauer
